,cpc_code
0,H01L2924/01082
1,H01L24/11
2,C07D213/36
3,C07D295/112
4,C07C311/06
5,Y10S454/906
6,H01L2224/16225
7,H01L2224/2919
8,H01L2924/01006
9,C07D207/335
10,C07D233/88
11,C07D211/58
12,H01L2924/01013
13,H01L2221/68327
14,C12N9/1096
15,C07C275/32
16,H01L2224/75252
17,C07D233/54
18,C07D333/20
19,Y10T428/12799
20,H01L2224/73203
21,H01L2924/0781
22,H01L2924/14
23,G01S13/347
24,C12Q1/6897
25,H01L29/8725
26,C07D295/096
27,H01L2924/01047
28,H01L24/94
29,H01L2224/73204
30,Y10T428/12792
31,G01S13/48
32,G01S7/354
33,H01L24/75
34,C07D471/08
35,C12N15/63
36,C07D235/26
37,C07D213/40
38,G01S2013/9375
39,H01L2924/01033
40,C07D233/84
41,C07D295/135
42,H01L29/861
43,C07D249/08
44,H01J5/54
45,H01L29/872
46,H01L2224/274
47,A61K45/06
48,H01L2224/83191
49,C07C217/22
50,G01S13/584
51,C07D277/36
52,C07D295/205
53,H01L21/563
54,H01L2224/27436
55,H01L29/0657
56,C23C2/26
57,H01L2924/01039
58,H01L2224/83856
59,H01L2924/10158
60,H01L2223/5448
61,C07D215/06
62,C07D257/04
63,C07C2601/02
64,G01S2013/9321
65,Y10S428/927
66,C07C335/32
67,C07D233/42
68,H01L21/67144
69,G01S13/931
70,E04B1/8218
71,E04B2001/848
72,H01L21/56
73,H01L2924/0665
74,H01L2224/81191
75,C07D295/088
76,Y10S428/936
77,C07D231/12
78,C07D213/74
79,H01L2924/01079
80,A61K31/4465
81,H01L24/29
82,H01L21/6835
83,H01L2224/73104
84,H01L24/27
85,H01L24/83
86,C07D207/325
87,C07C323/25
88,C07K14/70578
89,Y10S138/04
90,C07D211/22
91,C07D401/12
92,C07D233/56
93,C07C271/22
94,A61K31/4402
95,H01L2224/1134
96,H01L2221/68377
97,H01L2924/01005
98,C07C229/22
99,H01L2224/32225
100,A61K38/00
101,C07K2319/00
102,C07D239/34
103,C07D211/46
104,H01L2924/014
105,C07D401/14
106,C12N15/1034
107,G01S2007/356
108,H01L21/6836
109,C07D235/06
110,Y10S428/935
111,H01L2224/131
112,H01L2924/00013
113,Y10T428/12618
114,H01L2924/01004
115,C07D317/28
116,G01S13/345
117,H01L2223/54426
118,H01L2224/13144
119,C07D307/52
120,H01L2924/01078
121,Y10T428/1259
122,H01L2224/75
123,C07C2601/04
