,publication_number,source
0,AU-2955597-A,no_shared_cpc
1,AU-3677195-A,no_shared_cpc
2,AU-5877699-A,no_shared_cpc
3,AU-8783098-A,no_shared_cpc
4,AU-9470898-A,no_shared_cpc
5,BE-393977-A,no_shared_cpc
6,BE-413964-A,no_shared_cpc
7,BE-520849-A,no_shared_cpc
8,BE-655165-A,no_shared_cpc
9,BE-805080-A,no_shared_cpc
10,BE-830230-A,no_shared_cpc
11,BE-843903-A,no_shared_cpc
12,BR-0007813-A,no_shared_cpc
13,BR-8001119-A,no_shared_cpc
14,BR-8205318-A,no_shared_cpc
15,CA-1094551-A,no_shared_cpc
16,CA-1221962-A,no_shared_cpc
17,CA-939979-A,no_shared_cpc
18,CA-991871-A,no_shared_cpc
19,CH-362144-A,no_shared_cpc
20,CH-384788-A,no_shared_cpc
21,CH-422394-A,no_shared_cpc
22,CH-476651-A,no_shared_cpc
23,CH-483034-A,no_shared_cpc
24,CN-101305214-A,no_shared_cpc
25,CN-101580194-A,no_shared_cpc
26,CN-105434304-A,no_shared_cpc
27,CN-105770452-A,no_shared_cpc
28,CN-106156807-A,no_shared_cpc
29,CN-106700760-A,no_shared_cpc
30,CN-106916270-A,no_shared_cpc
31,CN-106989102-A,no_shared_cpc
32,CN-107065370-A,no_shared_cpc
33,CN-107094224-A,no_shared_cpc
34,CN-107198644-A,no_shared_cpc
35,CN-107371397-A,no_shared_cpc
36,CN-107452254-A,no_shared_cpc
37,CN-107470113-A,no_shared_cpc
38,CN-107517895-A,no_shared_cpc
39,CN-107709645-A,no_shared_cpc
40,CN-107743417-A,no_shared_cpc
41,CN-107765982-A,no_shared_cpc
42,CN-108013705-A,no_shared_cpc
43,CN-108368201-A,no_shared_cpc
44,CN-108456319-A,no_shared_cpc
45,CN-108478854-A,no_shared_cpc
46,CN-1172963-A,no_shared_cpc
47,CN-1303547-A,no_shared_cpc
48,CN-1537094-A,no_shared_cpc
49,CN-1611925-A,no_shared_cpc
50,CN-1815034-A,no_shared_cpc
51,CN-1899632-A,no_shared_cpc
52,FI-782034-A,no_shared_cpc
53,FI-973019-A,no_shared_cpc
54,FR-1119842-A,no_shared_cpc
55,FR-1416562-A,no_shared_cpc
56,CN-105144475-A,no_shared_cpc
57,CN-106324801-A,no_shared_cpc
58,CN-101926262-A,no_shared_cpc
59,CN-102138300-A,no_shared_cpc
60,CN-102666707-A,no_shared_cpc
61,CN-102892786-A,no_shared_cpc
62,CN-105469371-A,no_shared_cpc
63,CN-105990400-A,no_shared_cpc
64,CN-107139557-A,no_shared_cpc
65,CN-102227923-A,no_shared_cpc
66,CN-102231267-A,no_shared_cpc
67,CN-105144553-A,no_shared_cpc
68,CN-104676499-A,no_shared_cpc
69,CN-105122698-A,no_shared_cpc
70,CN-105875592-A,no_shared_cpc
71,CN-106439610-A,no_shared_cpc
72,CN-108689625-A,no_shared_cpc
73,CN-106118161-A,no_shared_cpc
74,CN-106804136-A,no_shared_cpc
75,CN-105402965-A,no_shared_cpc
76,CN-103329175-A,no_shared_cpc
77,CN-104264746-A,no_shared_cpc
78,CN-104909071-A,no_shared_cpc
79,CN-106826136-A,no_shared_cpc
80,CN-108163326-A,no_shared_cpc
81,CN-107160896-A,no_shared_cpc
82,CN-103969731-A,no_shared_cpc
83,AT-335167-B,no_shared_cpc
84,CN-101820899-B,no_shared_cpc
85,CN-105358895-B,no_shared_cpc
86,CN-106473241-B,no_shared_cpc
87,DK-145296-B,no_shared_cpc
88,FI-118302-B,no_shared_cpc
89,FI-78693-B,no_shared_cpc
90,DE-1157299-B,no_shared_cpc
91,DE-1267310-B,no_shared_cpc
92,CN-104768828-B,no_shared_cpc
93,CN-103201049-B,no_shared_cpc
94,CN-105960688-B,no_shared_cpc
95,CN-105579340-B,no_shared_cpc
96,CN-1845557-B,no_shared_cpc
97,CN-101398593-B,no_shared_cpc
98,CN-101061160-B,no_shared_cpc
99,CA-1328425-C,no_shared_cpc
