,publication_number,embedding
0,US-2005227999-A1,"-0.007995,-0.075326,-0.050697,0.029533,-0.131544,0.011023,-0.181364,0.144017,0.121260,0.083218,0.065391,0.103535,0.056249,0.203322,-0.078166,0.110417,0.138233,-0.132821,0.003547,-0.030897,0.025259,-0.102647,0.033190,0.009180,-0.033338,0.050866,0.085444,0.102234,0.178778,0.205221,0.068628,0.075988,0.257411,-0.259015,-0.126630,-0.248526,-0.166842,0.087771,0.054444,-0.005236,0.195760,-0.217626,0.051671,-0.129420,-0.067595,0.049620,-0.116804,0.013722,-0.137208,-0.192079,-0.048145,0.003008,-0.107423,-0.075778,-0.007708,-0.084029,-0.018932,0.015513,-0.088230,0.289890,0.143783,0.061534,-0.249566,0.164260,"
1,WO-03032984-A1,"0.090201,-0.084097,-0.054160,0.185094,-0.172781,0.081247,-0.052752,0.040817,0.062727,-0.057072,-0.000538,-0.072628,0.074870,0.040227,-0.148385,-0.027005,0.134996,-0.151264,-0.215179,-0.035764,0.022870,-0.067239,-0.054528,-0.064168,-0.015566,0.000398,0.149115,0.094857,0.028060,0.104247,0.165999,-0.015944,0.262545,-0.352755,-0.145125,-0.219565,-0.096586,-0.049963,-0.194904,-0.091626,0.154421,-0.142129,-0.052252,-0.303748,-0.057994,-0.009845,-0.186394,-0.006103,-0.218386,-0.128522,-0.101354,-0.087110,-0.095838,0.011229,-0.186455,-0.109453,0.053678,-0.014453,-0.036184,0.000977,0.103334,0.115497,-0.133485,0.100041,"
2,US-2005288329-A1,"0.059404,-0.104300,0.044540,0.114214,-0.138150,0.055603,-0.077778,0.095424,0.219929,0.117606,0.038141,-0.035585,0.101995,0.127402,-0.026275,-0.021855,0.203298,-0.145242,-0.193454,-0.092783,-0.039390,0.031839,0.057324,-0.082125,0.048458,0.003503,0.032944,0.152723,0.119588,0.318010,0.056569,0.043717,0.286652,-0.329343,-0.007483,-0.175680,-0.062635,-0.028433,-0.207834,-0.146874,0.155102,-0.221499,0.004020,-0.023712,-0.012819,-0.038607,-0.067390,-0.023502,-0.140186,-0.104586,-0.120590,-0.039700,-0.144865,-0.091130,-0.037359,-0.139901,-0.074578,-0.005027,-0.038309,0.171979,0.079036,0.103451,-0.137318,0.176743,"
3,US-6562617-B1,"0.157697,-0.095308,-0.129647,-0.046127,-0.141378,0.200337,0.075619,0.027456,-0.173904,0.044916,-0.050903,-0.098012,0.055721,0.132731,0.028792,0.170046,0.075235,0.056027,0.040704,0.062350,-0.051314,-0.143423,0.178547,-0.093574,-0.109614,0.007400,0.197800,0.231260,0.100336,0.081452,0.098633,0.073595,0.110177,-0.178454,-0.084837,-0.028014,0.007924,-0.367670,0.131349,-0.013265,0.034355,-0.217134,-0.084754,0.024815,-0.055918,0.059711,-0.178176,0.170700,-0.082592,-0.056086,-0.147144,-0.036671,-0.160607,-0.013850,0.036573,-0.254897,0.050256,0.000291,0.113507,0.008285,-0.035055,0.072511,-0.276144,0.138076,"
4,US-5619208-A,"-0.061455,0.086111,-0.025020,-0.157654,0.027556,0.176390,0.180654,0.034805,0.137707,0.062030,0.069652,0.054586,0.155671,-0.141380,-0.051910,0.106148,0.020015,0.040887,-0.218298,0.197195,-0.110451,-0.050671,0.114643,0.255443,0.108857,-0.037084,-0.046956,0.168018,0.286607,-0.052773,-0.078079,-0.145159,-0.145729,-0.022937,0.006509,-0.004201,0.066217,-0.157682,-0.069211,0.141341,-0.082090,-0.216105,0.054497,0.121963,0.058680,0.106852,0.147320,0.126360,-0.117503,-0.037630,-0.168111,-0.040375,-0.124549,-0.029853,-0.033162,0.242896,-0.028635,0.077409,-0.102189,0.095280,-0.037750,0.164030,-0.308140,-0.019171,"
5,JP-2005028734-A,"-0.043801,-0.137769,0.302260,-0.184004,-0.164046,0.013278,-0.056267,-0.044250,0.035506,-0.209042,0.137004,0.132890,-0.002285,0.027363,-0.109938,-0.015076,0.085450,-0.008249,-0.154752,-0.068689,0.113208,0.012496,-0.090872,0.084104,0.218124,-0.085790,0.024432,-0.013325,-0.142217,-0.063453,0.308873,-0.209251,0.092522,-0.188402,0.107951,-0.147945,-0.052629,-0.105251,0.056745,0.142520,0.090821,-0.052390,-0.028330,0.053232,0.000056,0.193275,-0.081130,0.083569,-0.059998,-0.015905,-0.236287,0.048954,-0.063771,-0.065200,-0.119311,0.000863,-0.069001,-0.090879,-0.253343,0.167893,0.071122,0.235493,-0.075067,0.083788,"
6,US-2002082210-A1,"0.064915,-0.069772,0.039867,0.070056,-0.136792,0.082165,-0.109066,-0.052660,0.010647,0.088946,-0.059033,-0.016982,0.134073,0.123534,-0.020393,0.167004,0.071783,-0.045036,-0.004484,-0.071941,-0.030158,-0.156421,-0.092564,-0.061976,-0.205801,-0.085685,0.198899,0.251470,0.036758,0.145100,0.135672,0.014386,0.065487,-0.293859,-0.151519,-0.130161,0.023460,-0.229531,-0.042537,0.001484,0.071106,-0.363302,0.005661,0.076819,-0.062568,-0.101286,-0.181311,0.073938,-0.145051,-0.011959,-0.137225,-0.120138,-0.103352,-0.013946,0.156392,-0.177830,0.099225,-0.019665,0.010195,0.197560,0.113908,0.074609,-0.233465,-0.048731,"
7,US-6462187-B1,"0.052631,-0.039291,0.050947,0.115169,-0.058993,0.060449,-0.064029,-0.082614,-0.019274,0.049736,-0.077389,-0.013488,0.143252,0.090564,-0.000518,0.143707,0.098682,-0.042124,-0.015137,-0.072427,-0.042301,-0.113942,-0.055216,-0.105927,-0.218819,-0.025105,0.214502,0.235565,0.031996,0.112980,0.174615,-0.008377,0.067445,-0.278403,-0.116688,-0.175207,-0.003660,-0.283239,-0.026364,0.008892,0.108060,-0.366281,0.009831,0.050631,-0.090162,-0.115351,-0.132735,0.126108,-0.197930,-0.020208,-0.145684,-0.076626,-0.102964,-0.013864,0.109507,-0.195790,0.078653,-0.070124,0.057378,0.195603,0.069626,0.074792,-0.245241,-0.033257,"
8,US-6635630-B2,"0.161431,0.034703,-0.008039,0.144966,-0.181507,0.141568,0.008843,0.083692,0.251897,0.122823,0.059255,-0.057523,0.061366,0.106770,-0.214579,0.053335,0.117193,-0.026295,-0.240858,-0.147325,0.059461,-0.032551,0.066498,0.182958,0.092228,-0.094437,0.086733,0.060206,0.128104,0.166237,-0.016575,-0.014116,0.119413,-0.289087,-0.155010,-0.156848,-0.170262,-0.057393,-0.277447,0.010381,0.129471,-0.255164,0.059333,-0.027777,-0.061404,0.109172,-0.098987,-0.072304,-0.064762,-0.093376,-0.038772,-0.019049,-0.095397,-0.084032,-0.088968,-0.115522,0.035448,0.058602,-0.055230,0.206130,0.114629,0.074887,-0.077085,0.180614,"
9,US-3445719-A,"-0.100576,-0.090015,0.016802,-0.202498,0.116142,-0.042527,-0.219099,0.147576,0.127376,0.170460,0.068088,-0.104299,-0.068411,-0.082945,-0.114660,-0.187208,0.112866,0.090986,-0.123457,0.168189,-0.049067,0.173551,-0.051919,0.022362,0.046938,-0.027609,0.320043,-0.007813,0.084946,0.043926,0.021760,-0.209018,0.055920,-0.062635,-0.053405,-0.066915,0.046002,-0.221119,0.048280,0.009371,0.003180,0.136746,0.139614,-0.003252,-0.088146,0.136100,0.043562,0.102810,0.023094,-0.104226,-0.189588,-0.086782,-0.061738,0.104950,0.079121,-0.231682,-0.133042,-0.128105,-0.257328,-0.023192,-0.107884,0.198403,-0.209501,0.075226,"
