,publication_number,source
0,CN-101437971-B,shared_cpc
1,CA-2820109-C,shared_cpc
2,EA-201691271-A1,shared_cpc
3,EP-0095361-A1,shared_cpc
4,AU-738155-B2,shared_cpc
5,ES-2251748-T3,shared_cpc
6,US-8946216-B2,shared_cpc
7,WO-9738139-A1,shared_cpc
8,US-3459750-A,shared_cpc
9,CA-2587514-A1,shared_cpc
10,EP-0664925-B1,shared_cpc
11,HU-0105409-A3,shared_cpc
12,JP-3872607-B2,shared_cpc
13,GB-9019840-D0,shared_cpc
14,JP-2007180084-A,shared_cpc
15,HU-9903771-A2,shared_cpc
16,SG-52603-A1,shared_cpc
17,RU-2004134719-A,shared_cpc
18,JP-5569126-B2,shared_cpc
19,DD-124092-A1,shared_cpc
20,AT-390412-T,shared_cpc
21,CN-101459439-A,shared_cpc
22,EP-2205257-B1,shared_cpc
23,EP-0417603-A3,shared_cpc
24,AU-623546-B2,shared_cpc
25,US-2003207417-A1,shared_cpc
26,KR-20110112299-A,shared_cpc
27,US-2011009486-A1,shared_cpc
28,IL-110852-A,shared_cpc
29,KR-20150023540-A,shared_cpc
30,FR-2787920-A1,shared_cpc
31,US-2012273929-A1,shared_cpc
32,US-2016211386-A1,shared_cpc
33,CA-2741511-C,shared_cpc
34,DE-69804254-D1,shared_cpc
35,US-8461694-B1,shared_cpc
36,JP-2005353803-A,shared_cpc
37,US-2014239425-A1,shared_cpc
38,JP-3146726-B2,shared_cpc
39,JP-H07121900-B2,shared_cpc
40,KR-100902271-B1,shared_cpc
41,US-9805980-B2,shared_cpc
42,US-8741905-B2,shared_cpc
43,WO-9914345-A3,shared_cpc
44,WO-2016138472-A1,shared_cpc
45,US-6538310-B2,shared_cpc
46,US-2006252225-A1,shared_cpc
47,TW-200537663-A,shared_cpc
48,IS-8312-A,shared_cpc
49,JP-2009510066-A,shared_cpc
50,KR-20160002594-A,shared_cpc
51,PL-365163-A1,shared_cpc
52,KR-100548008-B1,shared_cpc
53,JP-2012510994-A,shared_cpc
54,CN-106373898-A,shared_cpc
55,EP-2983654-A1,shared_cpc
56,EP-1958638-A1,shared_cpc
57,WO-2010074588-A2,shared_cpc
58,JP-H11228529-A,shared_cpc
59,JP-S55123653-A,shared_cpc
60,JP-2989853-B2,shared_cpc
61,KR-20130135264-A,shared_cpc
62,EA-201591815-A1,shared_cpc
63,AT-449849-T,shared_cpc
64,CA-2191063-A1,shared_cpc
65,DE-69716498-D1,shared_cpc
66,ES-2251514-T3,shared_cpc
67,CA-2687890-C,shared_cpc
68,DE-3044801-A1,shared_cpc
69,AU-2011323469-A1,shared_cpc
70,KR-100703830-B1,shared_cpc
71,JP-4362784-B2,shared_cpc
72,HU-9202294-D0,shared_cpc
73,JP-2009539870-A,shared_cpc
74,JP-WO2004080947-A1,shared_cpc
75,ES-2142895-T3,shared_cpc
76,ES-2562814-T3,shared_cpc
77,EP-2781507-A4,shared_cpc
78,US-3950354-A,shared_cpc
79,US-5063208-A,shared_cpc
80,KR-20140027313-A,shared_cpc
81,GB-2323474-A,shared_cpc
82,JP-WO2013118415-A1,shared_cpc
83,CN-1460100-A,shared_cpc
84,AT-197460-T,shared_cpc
85,CA-2909622-A1,shared_cpc
86,EP-0784611-B1,shared_cpc
87,AU-715156-B2,shared_cpc
88,US-8422235-B2,shared_cpc
89,PT-1817300-E,shared_cpc
90,US-2007082375-A1,shared_cpc
91,US-8962391-B2,shared_cpc
92,US-8815903-B2,shared_cpc
93,WO-2004046185-A3,shared_cpc
94,WO-9417823-A1,shared_cpc
95,JP-2003155591-A,shared_cpc
96,TW-I328279-B,shared_cpc
97,JP-2001110829-A,shared_cpc
98,JP-5012908-B2,shared_cpc
99,CA-3015914-A1,shared_cpc
