,publication_number,source
0,US-6995009-B1,similar_to_input
1,US-4105908-A,similar_to_input
2,WO-9505363-A1,similar_to_input
3,US-4243704-A,similar_to_input
4,US-3642092-A,similar_to_input
5,WO-2004014859-A2,similar_to_input
6,US-5672052-A,similar_to_input
7,US-7132712-B2,similar_to_input
8,US-6048759-A,similar_to_input
9,WO-03032984-A1,similar_to_input
10,US-6004204-A,similar_to_input
11,US-2006012511-A1,similar_to_input
12,WO-0200857-A2,similar_to_input
13,US-6686185-B1,similar_to_input
14,US-3121184-A,similar_to_input
15,US-2291220-A,similar_to_input
16,US-5925655-A,similar_to_input
17,US-3864139-A,similar_to_input
18,US-4184928-A,similar_to_input
19,US-3511336-A,similar_to_input
20,US-2759554-A,similar_to_input
21,US-3248586-A,similar_to_input
22,US-2007135402-A1,similar_to_input
23,US-5990599-A,similar_to_input
24,US-3274426-A,similar_to_input
25,US-5972154-A,similar_to_input
26,US-6610710-B2,similar_to_input
27,US-2002082210-A1,similar_to_input
28,US-6399996-B1,similar_to_input
29,US-2004242613-A1,similar_to_input
30,US-5619208-A,similar_to_input
31,US-6319777-B1,similar_to_input
32,US-6469004-B1,similar_to_input
33,US-3353626-A,similar_to_input
34,US-2851385-A,similar_to_input
35,US-7022418-B2,similar_to_input
36,US-6646587-B2,similar_to_input
37,US-5920280-A,similar_to_input
38,RU-2311286-C2,similar_to_input
39,US-3445719-A,similar_to_input
40,US-2172771-A,similar_to_input
41,US-2654042-A,similar_to_input
42,JP-2005028734-A,similar_to_input
43,US-7071189-B2,similar_to_input
44,US-7427800-B2,similar_to_input
45,US-6770971-B2,similar_to_input
46,US-6215438-B1,similar_to_input
47,US-5127954-A,similar_to_input
48,US-4346143-A,similar_to_input
49,US-2002040020-A1,similar_to_input
50,US-3484637-A,similar_to_input
51,US-6606052-B1,similar_to_input
52,US-2002137101-A1,similar_to_input
53,US-2008202803-A1,similar_to_input
54,US-2012292662-A1,similar_to_input
55,US-3706604-A,similar_to_input
56,US-2004044004-A1,similar_to_input
57,US-2008277669-A1,similar_to_input
58,US-7411054-B2,similar_to_input
59,US-3519495-A,similar_to_input
60,US-2003040474-A1,similar_to_input
61,US-6774497-B1,similar_to_input
62,US-2003109044-A1,similar_to_input
63,US-5151018-A,similar_to_input
64,EP-0430300-A2,similar_to_input
65,US-7030119-B1,similar_to_input
